SAPNo,ShortText,Size,BasicMaterial,Manufacturer,PartNo,DrawingNo,KeyNoun,POTextNo,UnitOfMeasure,PO Text Header,,,,
199301,ACTUATOR AIR GACHOT 28791,NA,NA,GACHOT,28791,,ACTUATOR,17428,EA,GACHOT S.A.,,,,
179861,ACTUATOR AIR LEHIGH-F 548A2S,"1-3/4""X4-1/4""",NA,LEHIGH-F,548A2S,4-4137A,ACTUATOR,16214,EA,LEHIGH FLUID POWER INC.,,,,
197314,ACTUATOR AIR SWGLK MS-153-SR,200PSI,NA,SWAGELOK,MS-153-SR,,ACTUATOR,5128,EA,SWAGELOK COMPANY,,,,
50754,ACTUATOR AIR THIELE 583-0001,NA,NA,THIELE-T,583-0001,,ACTUATOR,11843,EA,"THIELE TECHNOLOGIES, INCORPORATED",,,,
1116980,ACTUATOR PNEUMATIC A&R 361.00550,NA,NA,A-R-ARMA,361.0055,,ACTUATOR,26774,EA,A & R ARMATUREN GMBH,,,,
314247,ACTUATOR PNEUMATIC ASAHI-AM BP79PSN,NA,NA,ASAHI-AM,BP79PSN,,ACTUATOR,15535,EA,"ASAHI/AMERICA, INCORPORATED",,,,
1244156,ACTUATOR PNEUMATIC A-T-CONT 2R1750SO,NA,NA,A-T-CONT,2R1750SO,,ACTUATOR,24888,EA,"A-T CONTROLS, INC.",,,,
1207605,ACTUATOR PNEUMATIC AUTOMAX B200S10,NA,NA,AUTOMAX,B200S10,,ACTUATOR,10334,EA,"AUTOMAX, INCORPORATED",,,,
357104,ACTUATOR PNEUMATIC AUTOMAX N250NC04FCCW,NA,NA,AUTOMAX,N250NC04FCCW,,ACTUATOR,12363,EA,"AUTOMAX INCORPORATED                                                   
                                                                       
EACH UNIT SHALL HAVE ATTACHED AN EMBOS-                                
SED OR ENGRAVED PLASTIC OR STAINLESS                                   
STEEL TAG BEARING THE DUPONT PURCHASE                                  
ORDER NUMBER AND THE DUPONT ENGINEERING                                
NUMBER (DA-LOOP-FC).",,,,
1252735,ACTUATOR PNEUMATIC AUTOMAX SNA300S12FCW,NA,STEEL,AUTOMAX,SNA300S12FCW,,ACTUATOR,10334,EA,"AUTOMAX, INCORPORATED",,,,
357119,ACTUATOR PNEUMATIC BAILEY-C UP10A0100,NA,NA,BAILEY-C,UP10A0100,,ACTUATOR,9242,EA,BAILEY CONTROLS,,,,
210471,ACTUATOR PNEUMATIC BETTIS RPC5000DA,NA,NA,BETTIS,RPC5000DA,,ACTUATOR,25262,EA,BETTIS CORPORATION,,,,
225161,ACTUATOR PNEUMATIC CLIPPARD 01-LAPH2W-N,".99""BOREX11""ST",NA,CLIPPARD,01-LAPH2W-N,,ACTUATOR,9451,EA,"CLIPPARD INSTRUMENTS LABORATORY,                                       
INCORPORATED",,,,
1273989,ACTUATOR PNEUMATIC COMPAIR UT-41,NA,NA,COMPAIR,UT-41,,ACTUATOR,9182,EA,COMPAIR INCORPORATED,,,,
1066910,ACTUATOR PNEUMATIC CONTRO-V PA400,NA,NA,CONTRO-V,PA400,,ACTUATOR,24057,EA,"CONTRO VALVE, INCORPORATED",,,,
1177695,ACTUATOR PNEUMATIC DE-DIETRIC 1990,NA,NA,DE-DIETRIC,1990,,ACTUATOR,17316,EA,"DE DIETRICH PROCESS SYSTEMS, INC.",,,,
1193976,ACTUATOR PNEUMATIC DESCOTE B1940B-F/C,NA,NA,DESCOTE,B1940B-F/C,,ACTUATOR,23167,EA,DESCOTE INC.,,,,
1193975,ACTUATOR PNEUMATIC DESCOTE B1940B-F/O,NA,NA,DESCOTE,B1940B-F/O,,ACTUATOR,23167,EA,DESCOTE INC.,,,,
1073551,ACTUATOR PNEUMATIC DEZURIK 2039374,NA,SS,DEZURIK,2039374,A-16416,ACTUATOR,10792,EA,"DEZURIK, A UNIT OF GENERAL SIGNAL",,,,
1151332,ACTUATOR PNEUMATIC EBRO-ARM EBE0100D17V2,DN100,NA,EBRO-ARM,EBE0100D17V2,,ACTUATOR,17981,EA,EBRO-ARMATUREN GEBR BROER GMBH,,,,
188453,ACTUATOR PNEUMATIC ELOMATIC ESA40-3/A,NA,NA,EL-O-MAT,ESA40-3/A,,ACTUATOR,10543,EA,"EL-O-MATIC, THE HULSINK GROUP",,,,
1192934,ACTUATOR PNEUMATIC EL-O-MAT SR-110-8,NA,NA,EL-O-MAT,SR-110-8,,ACTUATOR,10543,EA,"EL-O-MATIC, THE HULSINK GROUP",,,,
1070687,ACTUATOR PNEUMATIC EL-O-MAT SR-50-10,NA,NA,EL-O-MAT,SR-50-10,,ACTUATOR,10543,EA,"EL-O-MATIC, THE HULSINK GROUP",,,,
296021,ACTUATOR PNEUMATIC FIRESTNE 174P,NA,NA,FIRESTNE,174P,,ACTUATOR,11096,EA,FIRESTONE TIRE & RUBBER COMPANY,,,,
1049470,ACTUATOR PNEUMATIC FIRESTNE RC29,NA,NA,FIRESTNE,RC29,,ACTUATOR,11096,EA,FIRESTONE TIRE & RUBBER COMPANY,,,,
196424,ACTUATOR PNEUMATIC GACHOT 93/3544,NA,NA,GACHOT,93/3544,,ACTUATOR,17428,EA,GACHOT S.A.,,,,
1001340,ACTUATOR PNEUMATIC GOODYEAR 1B8-550,NA,NA,GOODYEAR,1B8-550,,ACTUATOR,9000,EA,GOODYEAR TIRE RUBBER COMPANY,,,,
380591,ACTUATOR PNEUMATIC HOKE 0713A4,NA,NA,HOKE,0713A4,,ACTUATOR,10464,EA,HOKE INCORPORATED,,,,
380590,ACTUATOR PNEUMATIC HOKE 0722A4,NA,NA,HOKE,0722A4,,ACTUATOR,10464,EA,HOKE INCORPORATED,,,,
1045114,ACTUATOR PNEUMATIC HYTORK-C XLCOM4580S5A,NA,NA,HYTORK-C,XLCOM4580S5ABS,,ACTUATOR,11844,EA,HYTORK CONTROLS INCORPORATED,,,,
244652,ACTUATOR PNEUMATIC JOHNS-CO D-3246-2,8-13PSI,NA,JOHNS-CO,D-3246-2,,ACTUATOR,9163,EA,JOHNSON CONTROLS INCORPORATED,,,,
1292310,ACTUATOR PNEUMATIC KAMMER-V 3822-M10ATO,3-15PSI,NA,KAMMER-V,3822-M10ATO,,ACTUATOR,10193,EA,KAMMER VALVES INCORPORATED,,,,
164854,ACTUATOR PNEUMATIC KEYS-VAL F79U-006DA,"1/4""BSP",NA,KEYS-VAL,F79U-006DA,,ACTUATOR,11627,EA,KEYSTONE VALVE,,,,
1278946,ACTUATOR PNEUMATIC KITZ ISO-K15S,NA,NA,KITZ-COR,ISO-K15S,,ACTUATOR,9855,EA,KITZ CORPORATION,,,,
1278942,ACTUATOR PNEUMATIC KITZ ISO-K3S,NA,NA,KITZ-COR,ISO-K3S,,ACTUATOR,9855,EA,KITZ CORPORATION,,,,
338915,ACTUATOR PNEUMATIC LEWA 0386580002,NA,NA,LEWA,386580002,,ACTUATOR,10120,EA,LEWA HERBERT OTT GMBH & COMPANY,,,,
350718,ACTUATOR PNEUMATIC MATRYX MX450,NA,NA,MATRYX,MX450,,ACTUATOR,19941,EA,MATRYX CO.,,,,
306836,ACTUATOR PNEUMATIC MATRYX MX60,NA,NA,MATRYX,MX60,,ACTUATOR,19941,EA,MATRYX CO.,,,,
1168238,ACTUATOR PNEUMATIC MECA-PRI P05S,NA,ALUMINUM,MECA-PRI,P05S,,ACTUATOR,20564,EA,"MECANICA PRISMA, S.L.",,,,
352125,ACTUATOR PNEUMATIC MECA-PRI P30,"8""",STEEL,MECA-PRI,P30,,ACTUATOR,20564,EA,"MECANICA PRISMA, S.L.",,,,
1110156,ACTUATOR PNEUMATIC MILT-ROY 125864,NA,NA,MILT-ROY,125864,,ACTUATOR,9332,EA,"MILTON ROY FLOW CONTROL DIVISION OF                                    
SUNDSTRAND",,,,
87391,ACTUATOR PNEUMATIC MILT-ROY 335-0311-001,NA,NA,MILT-ROY,335-0311-001,,ACTUATOR,9332,EA,"MILTON ROY FLOW CONTROL DIVISION OF                                    
SUNDSTRAND",,,,
1285122,ACTUATOR PNEUMATIC SHAR-VAL SPN160-DA,NA,NA,SHAR-VAL,SPN160-DA,,ACTUATOR,27122,EA,SHARPE VALVES,,,,
161112,ACTUATOR PNEUMATIC SIEM-DEM S5449-00002,NA,NA,SIEM-DEM,S5449-00002,,ACTUATOR,21169,EA,SIEMENS DEMATIC,,,,
279651,ACTUATOR PNEUMATIC SPIRAX SAR PN3420,20MM,NA,SPIRAX SAR,PN3420,,ACTUATOR,8780,EA,SPIRAX SARCO,,,,
1015324,ACTUATOR PNEUMATIC SWGLK MS-131-DA,NA,SS,SWAGELOK,MS-131-DA,,ACTUATOR,5128,EA,SWAGELOK COMPANY,,,,
124912,ACTUATOR PNEUMATIC TORK 4035660,120PSI,NA,TORK,4035660,,ACTUATOR,10536,EA,TORK,,,,
1223341,ACTUATOR PNEUMATIC WOR-BRUS 10E39SNZV64,NA,NA,WOR-BRUS,10E39SNZV64,,ACTUATOR,15341,EA,WORCHESTER BRUSH,,,,
1066908,ACTUATOR PNEUMATIC WORCSTER 25E-39NZ,"10-5/8""X5-1/4""",NA,WORCSTER,25E-39NZ,,ACTUATOR,10713,EA,WORCESTER CONTROLS,,,,
1291346,ACTUATOR PNEUMATIC WORCSTER 3039S,NA,SS316,WORCSTER,3039S,,ACTUATOR,10713,EA,WORCESTER CONTROLS,,,,
154299,ACTUATOR PNEUMATIC XOMOX 600531         ,NA                ,ALUMINUM      ,XOMOX          ,600531,                ,ACTUATOR,9970,EA,XOMOX CORPORATION,,,,
1203047,ACTUATOR PNEUMATIC YOUNG-IND 748237,NA,NA,YOUNG-IND,748237,,ACTUATOR,10624,EA,YOUNG INDUSTRIES INCORPORATED,,,,
1114832,ACTUATOR PNEUMATIC VALVE HOKE 0236A4,NA,NA,HOKE,0236A4,,ACTUATOR,10464,EA,HOKE INCORPORATED,,,,
308965,ADAPTER 3M MNG10-14R/SY,"1/4""",NA,3M,MNG10-14R/SY,,ADAPTER,5969,EA,3M CORPORATION,,,,
1191558,ADAPTER ABEL-PUMP 230-202.01,NA,NA,ABEL-PUMP,230-202.01,,ADAPTER,9984,EA,ABEL PUMP CORPORATION,,,,
1189482,ADAPTER POWER ADVANTECH ADVDC24-50,220V-24VDC,NA,ADVANTECH,ADVDC24-50,,ADAPTER,27353,EA,ADVANTECH CO.,,,,
1208826,ADAPTER FIX AEROQUIP 2216-8-8S,"3/4""",NA,AEROQUIP,2216-8-8S,,ADAPTER,5017,EA,"AEROQUIP CORPORATION U.S. INDUSTRIAL                                   
GROUP",,,,
295891,ADAPTER AEROQUIP G48F-10-08B,"5/8""",NA,AEROQUIP,G48F-10-08B,,ADAPTER,5017,EA,"AEROQUIP CORPORATION U.S. INDUSTRIAL                                   
GROUP",,,,
217185,ADAPTER AEROQUIP 202702-10-12S          ,7/8-14X1-1/16-12  ,STEEL         ,AEROQUIP       ,202702-10-12S                 ,                ,ADAPTER,5017,EA,"AEROQUIP CORPORATION U.S. INDUSTRIAL                                   
GROUP",,,,
205405,ADAPTER CONTACT ALLEN-BR 194R-AA1,NA,NA,ALLEN-BR,194R-AA1,,ADAPTER,7766,EA,ALLEN-BRADLEY COMPANY,,,,
231497,ADAPTER STRAIGHT AMPHENOL 82101,NA,NA,AMPHENOL,82101,,ADAPTER,8019,EA,"AMPHENOL CORPORATION                                                   
BENDIX CONNECTOR OPERATIONS",,,,
1253837,ADAPTER ARCH-ENG 274-365A,NA,NA,ARCH-ENG,274-365A,,ADAPTER,15829,EA,ARCHER ENGINEERING INC.,,,,
388912,ADAPTER AT&T 105-336-374,NA,NA,AT&T,105-336-374,,ADAPTER,9485,EA,"AMERICAN TELEPHONE & TELEGRAPH COMPANY                                 
A T & T",,,,
315931,ADAPTER ATLAS-EN A131M008,NA,NA,ATLAS-EN,A131M008,,ADAPTER,20064,EA,ATLAS ENGINEERING CO. INC.,,,,
1141406,ADAPTER AUTOCLAV 20M129K6-D,"3/4""X9/16""",SS316,AUTOCLAV,20M129K6-D,,ADAPTER,4966,EA,AUTOCLAVE ENGINEERS INCORPORATED,,,,
1167016,ADAPTER AUTOCLAV 6M49N6-WOD,"1/4""MNPTX9/16""FM",SS316,AUTOCLAV,6M49N6-WOD,,ADAPTER,4966,EA,AUTOCLAVE ENGINEERS INCORPORATED,,,,
1026861,ADAPTER BAND-IT J001,NA,NA,BAND-IT,J001,,ADAPTER,10773,EA,"BAND-IT IDEX INCORPORATED, A UNIT OF                                   
IDEX CORPORATION",,,,
221841,ADAPTER POWER CORD BECKMAN 599199,NA,NA,BECKMAN,599199,,ADAPTER,10753,EA,BECKMAN INDUSTRIAL CORPORATION,,,,
1030115,ADAPTER BERST-CO 90-2-EO-9106-9105/78,NA,NA,BERST-CO,90-2-EO-9106-9105/78,,ADAPTER,18350,EA,BERSTORFF CORP.,,,,
1052955,ADAPTER MECMAN BOSC-REX 580-361-000-0,NA,NA,BOSC-REX,580-361-000-0,,ADAPTER,20347,EA,BOSCH REXROTH ELEC DRIVES & CONTROL,,,,
1208297,ADAPTER BRAY-VAL 50-0630-22301-536,NA,NA,BRAY-VAL,50-0630-22301-536,,ADAPTER,16712,EA,BRAY VALVE & CONTROLS,,,,
1287275,ADAPTER STRAIGHT BRENNAN 2404-4-8-SS,NA,SS,BRENNAN,2404-4-8-SS,,ADAPTER,20992,EA,BRENNAN INDUSTRIES INC.,,,,
1018086,ADAPTER BROOKS-I S013E242BMA,13,NA,BROOKS-I,S013E242BMA,,ADAPTER,9820,EA,BROOKS INSTRUMENT,,,,
87503,ADAPTER BURGMANN 534-40-127,NA,NA,BURGMANN,534-40-127,M477GS2/120,ADAPTER,11787,EA,BURGMANN SEAL INCORPORATED,,,,
49825,ADAPTER TERMINAL CARLON E943D,"1/2""",PVC,CARLON,E943D,,ADAPTER,8059,EA,"CARLON, A LAMSON & SESSIONS COMPANY",,,,
371817,ADAPTER TERMINAL CARLON TA-1-1/2,"1-1/2""",PVC,CARLON,TA-1-1/2,,ADAPTER,8059,EA,"CARLON, A LAMSON & SESSIONS COMPANY",,,,
266929,ADAPTER PHILLIPS CHAP-MFG CMP-34,4,STEEL,CHAP-MFG,CMP-34,,ADAPTER,18419,EA,CHAPMAN MFG.CO.,,,,
171761,ADAPTER CIVACON KAMVALOK 1663-AN,"2""",ALUMINUM,CIVACON,1663-AN,,ADAPTER,17226,EA,CIVACON,,,,
354147,ADAPTER COMPSEE C3-7FF-5137,NA,NA,COMPSEE,C3-7FF-5137,,ADAPTER,20652,EA,COMPSEE INCORPORATED,,,,
1215796,ADAPTER WER-PFLE 200244-4829,"1""FNPTX1""MBSPT",NA,COPERION,200244-4829,,ADAPTER,10826,EA,COPERION CORPORATION,,,,
1226509,ADAPTER CRANE HF-2625-147-0550,NA,SS316,CRANE-JO,HF-2625-147-0550,,ADAPTER,9003,EA,JOHN CRANE INCORPORATED,,,,
100696,ADAPTER DEVILBIS P-H-4105,3/8MX1/4F,NA,DEVILBIS,P-H-4105,,ADAPTER,5205,EA,DEVILBISS COMPANY,,,,
99703,ADAPTER DICKOW-P NMWRH U-150/250 921.3,NA,NA,DICKOW-P,921.3,,ADAPTER,11178,EA,DICKOW PUMP COMPANY,,,,
154092,ADAPTER DECWRITER LA120 DIGITAL LA12X-AL,NA,NA,DIGITAL,LA12X-AL,,ADAPTER,5255,EA,DIGITAL EQUIPMENT COMPANY,,,,
1235676,ADAPTER DIXON-V 400-AW-SPAL,"4""",ALUMINUM,DIXON-V,400-AW-SPAL,,ADAPTER,5210,EA,DIXON VALVE & COUPLING COMPANY,,,,
162677,ADAPTER BELL EDW-VLV 340-6N5,"120V 6""",NA,EDW-VLV,340-6N5,,ADAPTER,10087,EA,EDWARD VALVES INC,,,,
384236,ADAPTER ELAS-DIV 10TL-FB,2AWG 350MCM,NA,ELAS-DIV,10TL-FB,,ADAPTER,8023,EA,"ELASTIMOLD, DIVISION OF AMERACE                                        
CORPORATION",,,,
1235162,ADAPTER EMPIRE-ABR 504912,NA,STEEL,EMPIRE-ABR,504912,,ADAPTER,18863,EA,EMPIRE ABRASIVE EQUIPMENT CO.,,,,
1204530,ADAPTER AC ESSELTE ESS40030,NA,NA,ESSELTE,ESS40030,,ADAPTER,9190,EA,ESSELTE BUSINESS SYSTEMS INCORPORATED,,,,
205680,ADAPTER FANUC A03B-0808-C001,NA,NA,FANUC,A03B-0808-C001,,ADAPTER,16306,EA,"FANUC ROBOTICS N.A., INC.",,,,
1277725,ADAPTER FESTO AD-3/8-3/8 9397,NA,NA,FESTO CORP,9397,,ADAPTER,8754,EA,FESTO CORP.,,,,
1237305,ADAPTER FIREYE 60-2060-15,NA,NA,FIREYE,60-2060-15,,ADAPTER,10825,EA,"FIREYE PRODUCTS, DIVISION OF ALLEN-                                    
BRADLEY, A ROCKWELL INTERNATIONAL CO.",,,,
1239592,ADAPTER FISH-C 17A9870X022,NA,NA,FISHER-C,17A9870X022,,ADAPTER,9385,EA,FISHER CONTROLS COMPANY,,,,
1228486,ADAPTER FLE-INC 4927-293,NA,NA,FLE-INC,4927-293,,ADAPTER,10185,EA,"FLEISSNER, INCORPORATED (GERMANY)",,,,
1205604,ADAPTER TRANSITION FLEXICON DCT2-S3,NA,NA,FLEXICON,DCT2-S3,,ADAPTER,17831,EA,FLEXICON CORPORATION,,,,
1270617,ADAPTER FLOWSERVE N646QK111,NA,NA,FLOWSERVE,N646QK111,,ADAPTER,17431,EA,FLOWSERVE CORP.,,,,
1082304,ADAPTER GE 227B9565P001,NA,NA,GE,227B9565P001,,ADAPTER,5351,EA,GENERAL ELECTRIC COMPANY,,,,
1010253,ADAPTER GILMONT V2112,NA,NA,GILMONT,V2112,,ADAPTER,22585,EA,GILMONT INSTRUMENTS,,,,
338219,ADAPTER GLOB-COM ZFC4338 DB9FXDB25M,NA,NA,GLOB-COM,ZFC4338,,ADAPTER,18126,EA,GLOBAL COMPUTER,,,,
1118605,ADAPTER GOULDS 40102DB-1000,NA,NA,GOULDS,40102DB-1000,,ADAPTER,9404,EA,GOULDS PUMPS INCORPORATED,,,,
275075,ADAPTER GRACO-P 167-490,"3/4""-10X1""",SS,GRACO-P,167-490,,ADAPTER,8809,EA,GRACO INCORPORATED,,,,
242920,ADAPTER HILTI 000742841,NA,NA,HILTI,742841,,ADAPTER,5395,EA,HILTI INCORPORATED,,,,
1210046,ADAPTER HONEYWELL 51196946-907,NA,NA,HONEYWELL,51196946-907,,ADAPTER,5433,EA,HONEYWELL INCORPORATED,,,,
246179,ADAPTER HUBBELL 9053A,NA,NA,HUBBELL,9053A,,ADAPTER,7845,EA,HUBBELL INCORPORATED,,,,
1204682,ADAPTER IFM ELECTR E40096,"1/2""",NA,IFM ELECTR,E40096,,ADAPTER,9379,EA,IFM ELECTRONICS,,,,
345993,ADAPTER INGERSOL 74380080,NA,NA,INGERSOL,74380080,,ADAPTER,9002,EA,INGERSOLL-RAND,,,,
1192297,ADAPTER JOUCOMAT 88263001,NA,ALUMINUM,JOUCOMAT,88263001,,ADAPTER,11369,EA,JOUCOMATIC,,,,
1149936,ADAPTER JULABO 889009,"M16X1FX1/2""NPT",NA,JULABO,889009,,ADAPTER,26129,EA,JULABO CORPORATIONS,,,,
1151939,ADAPTER KELLEMS 091-04-1010,NA,NA,KELLEMS,091-04-1010,,ADAPTER,7854,EA,KELLEMS DIV. HARVEY HUBBELL INC.,,,,
1237430,ADAPTER KEYS-VAL 102-254-160-790-016,NA,NA,KEYS-VAL,102-254-160-790-016,,ADAPTER,11627,EA,KEYSTONE VALVE,,,,
1243124,ADAPTER KLEINHUI 51M2025,NA,BRASS,KLEINHUI,51M2025,,ADAPTER,26094,EA,KLEINHUIS,,,,
1126067,ADAPTER ZF82/29/0250-STANDARD26788,2MM,POLYPROPYLEN,KLINK-AM,ZF82/29/0250-STANDARD26788,,ADAPTER,15583,EA,KLINKAU AMERICA INCORPORATED,,,,
129541,ADAPTER KREMLIN 050-123-532,"3/8""NPS MALE",STEEL,KREMLIN,050-123-532,,ADAPTER,15566,EA,KREMLIN INCORPORATED,,,,
1233571,ADAPTER LANTECH P-005001,NA,NA,LANTECH,P-005001,,ADAPTER,10347,EA,"LANTECH, INCORPORATED",,,,
316864,ADAPTER LEVITON 2005,250V 660W,NA,LEVITON,2005,,ADAPTER,10972,EA,"LEVITON MANUFACTURING COMPANY, INC.",,,,
206852,ADAPTER LONG-RCH 352-853-0806,NA,NA,LONG-RCH,352-853-0806,,ADAPTER,16232,EA,LONG REACH MFG.CO.,,,,
1282228,ADAPTER LWB-STEINL 01202006,"1/2""X1/2""",NA,LWB-STEINL,1202006,,ADAPTER,28003,EA,LWB STEINL GMBH & CO.,,,,
1063358,ADAPTER MEDIA-VLV 3198-21,"4""/6""",STEEL,MEDIA-VLV,3198-21,,ADAPTER,10407,EA,"MEDIA VALVE COMPANY, INCORPORATED",,,,
328882,ADAPTER METROHM 6.1446.160,NA,NA,METROHM,6.1446.160,,ADAPTER,15481,EA,METROHM TITRATOR,,,,
1167949,ADAPTER ORION 733001,NA,NA,METSO-C,733001,,ADAPTER,10004,EA,METSO corporation.,,,,
160482,ADAPTER MILIPORE FTPF02716,"1/4""-1/4""FPT",NA,MILIPORE,FTPF02716,,ADAPTER,10174,EA,MILLIPORE CORPORATION,,,,
1100251,ADAPTER CONTACT TIP MILLR-CO 112704,NA,NA,MILLR-CO,112704,,ADAPTER,18051,EA,MILLER CO.,,,,
1211309,ADAPTER MILT-ROY 272-0038-001,NA,NA,MILT-ROY,272-0038-001,,ADAPTER,9332,EA,"MILTON ROY FLOW CONTROL DIVISION OF                                    
SUNDSTRAND",,,,
1144103,ADAPTER MOD-TAP 06-888-523-30,NA,NA,MOD-TAP,06-888-523-30,,ADAPTER,25015,EA,MOD-TAP SYSTEM,,,,
57078,ADAPTER MOREHOUSE 6-31511,NA,SS,MOREHOUSE,6-31511,4-47116,ADAPTER,10961,EA,"MOREHOUSE INDUSTRIES, INC.",,,,
1214703,ADAPTER WELDERS FACEPIECE MSA 470786,NA,NA,MSA,470786,,ADAPTER,5610,EA,"MINE SAFETY APPLIANCES COMPANY                                         
INTERNATIONAL",,,,
1161249,ADAPTER NETZSCH-I 955564,NA,NA,NETZSCH-I,955564,,ADAPTER,15366,EA,NETZSCH INCORPORATED,,,,
1094147,ADAPTER NIRO-AT 37-186,NA,NA,NIRO-AT,37-186,,ADAPTER,10328,EA,"NIRO ATOMIZER, INCORPORATED",,,,
389433,ADAPTER STRAIGHT NORGREN 10-225-0828,"8MM-1/4""",BRASS,NORGREN,10-225-0828,,ADAPTER,9009,EA,"NORGREN, C. A. COMPANY",,,,
153677,ADAPTER STRAIGHT NORGREN 12-425-0418-V  ,"1/4""X1/8""NPT      ",BRASS-NICKEL  ,NORGREN        ,12-425-0418-V                 ,                ,ADAPTER,9009,EA,"NORGREN, C. A. COMPANY",,,,
164237,ADAPTER PAC-IND 50-612-13PT26001372,NA,NA,PAC-IND,50-612-13PT26001372,,ADAPTER,16398,EA,PACIFIC INDUSTRIES,,,,
255887,ADAPTER AC PANDUIT LS4-60,NA,NA,PANDUIT,LS4-60,,ADAPTER,7878,EA,THE PANDUIT CORPORATION,,,,
1287110,ADAPTER GREER-HY 5626810000,"1-1/2""NPT",STEEL,PARK-HAN,5626810000,,ADAPTER,5777,EA,PARKER HANNIFIN CORPORATION,,,,
49190,"ADAPTER PARTEK 4356220 1/2""X1/8""","1/2""X1/8""",NA,PARTEK,4356220,,ADAPTER,10702,EA,PARTEK CORPORATION OF HOUSTON,,,,
195730,ADAPTER PLANT-EN 18-3625-21,NA,NA,PLANT-EN,18-3625-21,,ADAPTER,9991,EA,PLANT ENGINEERING CONSULTANTS,,,,
1135982,ADAPTER POMERLEA HY0808MP,NA,NA,POMERLEA,HY0808MP,,ADAPTER,25773,EA,POMERLEAU,,,,
309028,ADAPTER POMONA-E 1432-0,NA,NA,POMONA-E,1432-0,,ADAPTER,16427,EA,POMONA ELECTRIC INC.,,,,
1040896,ADAPTER SANITARY PREM-MIL 577-0011,"2""X2""",SS304,PREM-MIL,577-0011,,ADAPTER,9575,EA,PREMIER MILL CORPORATION,,,,
1073843,ADAPTER PRESS-PR A-24007-034-00,NA,SS,PRESS-PR,A-24007-034-00,,ADAPTER,24255,EA,"PRESSURE PRODUCTS INDUSTRIES, INC.",,,,
135911,ADAPTER TERMINAL RACO-INC 9066,"1-1/2""",PVC,RACO-INC,9066,,ADAPTER,10721,EA,RACO INCORPORATED,,,,
198149,ADAPTER CHEVRON MALE RANSBURG 18821-00,NA,NA,RANSBURG,18821-00,,ADAPTER,15580,EA,RANSBURG ELECTRO COATING CORPORATION,,,,
289010,ADAPTER RAYCHEM ADPT-PG16/M25-EEXE,PG16/M25,NA,RAYCHEM,ADPT-PG16/M25-EEXE,,ADAPTER,10460,EA,RAYCHEM CORPORATION,,,,
1168213,ADAPTER CONVEYOR DODGE 356055,C6,NA,REL-ELEC,356055,,ADAPTER,9333,EA,RELIANCE ELECTRIC COMPANY,,,,
222839,ADAPTER RIETER-C 3006013,M12/2828MS,NA,RIETER-C,3006013,,ADAPTER,18390,EA,RIETER CORPORATION,,,,
378043,ADAPTER SCOTT-HS 6181-00,NA,NA,SCOTT-HS,6181-00,,ADAPTER,11573,EA,SCOTT HEALTH & SAFETY,,,,
1185711,ADAPTER STRAIGHT SERVOMEX 4346055,NA,PVDF,SERVOMEX,4346055,,ADAPTER,9464,EA,SERVOMEX COMPANY,,,,
163150,ADAPTER SHIMADZU 631-40891,NA,NA,SHIMADZU,631-40891,,ADAPTER,9502,EA,SHIMADZU CORPORATION,,,,
